nama_makanan,foto,deskripsi_menu,komposisi,berat_g,energi_kkal,protein_gram,lemak_gram,karbohidrat_gram,gula_gram,natrium_mg,serat_gram,zat_besi_mg,kalsium_mg,protein_persen,lemak_persen,gula_persen,garam_persen,serat_persen,zat_besi_persen,kalsium_persen,skor_zat_gizi,kategori
Tumis Usus,https://drive.google.com/file/d/1NUarVxW5gXEFwsNcj4HSfFc2OLq2LqQW/view?usp=drive_link,"Tumis usus ayam yang dimasak dengan bumbu tumis yang gurih dan sedikit pedas yang ditumis bersama bawang putih, cabai, dan kecap manis","Usus Ayam, Bawang Putih, Cabai Merah, Garam, Minyak, Penyedap, Kecap Manis, air",35,107.3,2.1,7.2,8.3,0.1,227.6,0.4,0.3,9.9,3,0,10,0,0,0,0,13,Makanan
Bakso Telur,https://drive.google.com/file/d/1lmqvKLh9wUZEL6yQdNKv1z9LtLOtHclf/view?usp=drive_link,"Bakso berukuran besar dengan isian telur rebus utuh di dalamnya, terbuat dari daging sapi giling dan bumbu. Disajikan dengan kuah kaldu yang gurih dan hangat, dengan pelengkap seperti mie dan bihun.","Daging Sapi, Tepung Terigu, Tepung Tapioka, Telur, Garam, Lada, Bawang Putih, Bawang Merah, Mie Kuning, Bihun",129.7,209.4,10.5,9.5,19.8,0.1,944.5,0.2,2.3,38.4,10,0,10,0,0,10,0,30,Makanan
Nasi Ayam Geprek (Dengan Timun),https://drive.google.com/file/d/1fzJasxTCr5Ji6EoJLbPJSBJwJLdP-Zym/view?usp=drive_link,"Ayam goreng tepung yang digeprek atau ditumbuk, lalu disajikan bersama sambal pedas, nasi putih, dan juga timun.","Nasi, Daging Ayam (Paha), Tepung Terigu, Royco, Garam, Lada, Minyak, Timun, Sambal",288,500.3,15.8,16.4,83.3,0.1,1035.4,0.4,1.5,68.6,10,0,10,0,0,0,0,20,Makanan
Es Good Day Vanilla Latte,https://drive.google.com/file/d/18ZgAuVuEw4FS8OGm2kCLN1tajCcI7SFS/view?usp=sharing,Minuman kopi instan yang menawarkan rasa vanilla latte dengan sentuhan Good Day.,"Bubuk Good Day Vanilla Latte, Gula, Air",30,129.4,1,2.5,25.4,20.4,5.1,1,0,0.5,0,10,0,0,3,0,0,13,Minuman
Es Milo,https://drive.google.com/file/d/16IBtIdu3FJldDi3e3x04siVZRkbw_hWo/view?usp=sharing,"Minuman cokelat dingin yang segar dan manis, dibuat dari bubuk Milo yang dicampur dengan gula dan es batu.","Bubuk Milo, Gula, Air",32,135.5,2.4,2.4,25.3,9.4,42.8,0,4,202.2,3,10,0,10,0,0,0,23,Minuman
Es Good Day Cappucino,https://drive.google.com/file/d/1HEKn5zy6nfqr0tPFI8_qaQujwSmDv4CT/view?usp=sharing,Minuman kopi instan yang menawarkan rasa cappucino klasik dengan sentuhan Good Day.,"Bubuk Good Day Cappucino, Gula, Air",35,149.4,1,2.5,30.4,26.4,10.1,1,0,0.5,0,10,0,0,3,0,0,13,Minuman
Ayam Asam Manis,https://drive.google.com/file/d/1wiAOHQGqQ5UcKQA8KxcQGdvQfWVxl3qQ/view?usp=drive_link,"Potongan ayam yang digoreng hingga renyah, kemudian disiram dengan saus asam manis yang terbuat dari campuran saus tomat, saus tiram, kecap, dengan rasa khas dari masakan ini adalah perpaduan rasa manis dan asam yang segar","Daging Ayam, Tepung Bumbu, Bawang Bombay, Bawang Putih, Saus Tiram, Cabai Merah Besar. Cabai Hijau Besar, Kaldu Jamur, Royco, Lada, Saus Tomat, Kecap, Tepung Maizena, Minyak",99,196,7.7,13.7,10.5,0.1,799,0.1,1.7,20.5,10,0,10,0,0,7,0,27,Makanan
Telur Balado,https://drive.google.com/file/d/1FnFzEohxDUa4G7LES0YSh0fgPWqIjan4/view?usp=drive_link,"Telur rebus yang digoreng hingga berkulit, lalu dimasak dengan sambal balado. Sambal balado dibuat dari campuran cabai merah, bawang merah, bawang putih, tomat, dan sedikit garam serta gula, yang ditumis hingga harum.","Telur Ayam, Cabai Merah Kering, Tomat, Bawang Putih, Bawang Merah, Garam, Royco, Gula, Minyak",60,117.2,6.6,8.3,3.6,2,594,1.1,1.6,48.6,10,0,3,0,7,10,10,40,Makanan
Tempe Goreng Tepung,https://drive.google.com/file/d/1saV-TfCGkz0M3FVVOk3deRfRjg737nAu/view?usp=sharing,"Irisan tempe yang dibalut dengan adonan tepung berbumbu, lalu digoreng hingga renyah.","Tempe, Tepung Terigu, Tepung Beras, Tepung Sagu, Ketumbar, Bawang Putih, Kunyit, Daun Bawang, Royco, Garam, MSG, Minyak",55.64,126.9,5.8,9.1,7.2,0.5,98.6,1.1,1.3,50.6,10,0,3,7,7,10,10,47,Makanan
Piscok,https://drive.google.com/file/d/1JzLzNja9xSKDhrPw6nhzglnCaAYYu1iZ/view?usp=sharing,"Pisang manis yang dibalut kulit lumpia tipis, diisi dengan lelehan cokelat lumer, lalu digoreng hingga renyah keemasan.","Pisang Uli, Kulit Lumpia, Meses, Gula, Minyak",37.36,110.1,1,4.8,16.1,7.3,9.9,0.4,0.9,14.7,0,0,0,0,0,7,0,7,Makanan
Kentang Balado,https://drive.google.com/file/d/1A41ICbuD2stDj0-tqkRGezs3A8ct-AOu/view?usp=drive_link,"Potongan kentang yang digoreng kering, lalu ditumis dengan sambal balado yang pedas dan manis.","Kentang, Cabai Merah Kering, Tomat, Bawang Putih, Bawang Merah, Garam, Penyedap, Gula, Daun Salam",86,128.5,2.6,7.4,13.6,3.7,98.8,2.3,0.7,50.2,3,0,0,7,10,3,10,33,Makanan
Kentang Goreng,https://drive.google.com/file/d/1gcpvojxHF2XqZYaTngwrNpwTC1LU2rK6/view?usp=drive_link,"Potongan kentang yang digoreng dalam minyak panas hingga berwarna keemasan dan renyah di luar, serta lembut di dalam.","Kentang, Tepung Beras, Tepung Terigu, Minyak",100,99,2.3,3.4,15.6,0.6,6.6,0.5,0.7,59,7,0,10,0,3,3,7,30,Makanan
Otak-otak Goreng Tepung,https://drive.google.com/file/d/1T2n_GCycs1WqDvUltJJGgdJa0SEXmHr9/view?usp=drive_link,Cemilan gurih yang digoreng dengan tepung hingga berwarna keemasan dan renyah di luar namun tetap lembut di dalam.,"Otak-otak, Tepung Maizena, Minyak",24,52.4,1,2.1,7.1,0,89.5,0.2,0,0.5,3,0,10,0,0,0,0,13,Makanan
Cireng Isi Ayam Suwir Pedas,https://drive.google.com/file/d/13pOzKdlofOLb05v3n0AR4BpEpL901IQI/view?usp=sharing,Olahan aci yang di goreng garing di luar tapi kenyal di dalam dan diisi dengan ayam yang di suwir pedas.,"Cireng, Minyak",34,65.3,1.3,4,6.1,0.7,96.9,0.5,0.2,10.2,3,0,7,0,3,0,0,13,Makanan
Roti Bakar Coklat Keju,https://drive.google.com/file/d/1T0ZXqt28ZHKYkILUaUUueuZPy2KOQA4G/view?usp=sharing,"Camilan yang terbuat dari roti tawar yang dibakar di atas pan atau pemanggang, lalu diisi dengan perpaduan coklat dan keju parut.","Roti Putih, Selai Coklat, Keju, Margarin",120,375.2,10.6,12.5,54.1,11.7,707.4,8,1.5,108.3,10,0,0,0,10,0,0,20,Makanan
Pangsit Dower,https://drive.google.com/file/d/1ndnFaP5ga-g1Dn3aTPuKQF25NzOmzoB3/view?usp=sharing,"Pangsit rebus isi ayam cincang gurih, disiram dengan chili oil atau sambal pedas.","Kulit Pangsit, Daging Ayam, Chili Oil, Minyak Bawang, Kecap Asin",66,131.2,5.7,5.7,14,0.2,724.6,0.4,1.1,58.3,10,0,10,0,0,7,10,37,Makanan
Indomie Goreng Rendang + Telur,https://drive.google.com/file/d/12A1op9J4pW9kmCjyjxoGCCEm0rDUY5jw/view?usp=drive_link,"Mi instan Indomie goreng yang dimasak kemudian disajikan tanpa kuah, lalu disajikan bersama telur yang di rebus.","Indomie Goreng Rasa Rendang, Telur",148,481.1,15.7,21,56.3,0.1,1192.9,2.1,7.5,51.8,10,0,10,0,0,10,0,30,Makanan
Rice Bowl Rolade,https://drive.google.com/file/d/1Dl94Xm7T1WVRtSroWewwNWEPoxYGrZ3X/view?usp=sharing,"Semangkuk nasi disajikan dengan potongan rolade daging ayam yang gurih dan lembut, digoreng hingga keemasan.","Beras, Daging Ayam, Tepung Terigu, Telur Ayam, Garam, Merica, Penyedap",161.78,307.2,8.6,7.2,49.9,0,279.7,0.2,0.5,29.1,10,7,10,3,0,0,0,30,Makanan
Dimsum Mentai,https://drive.google.com/file/d/1lLuESPOCIny7tIx5fDZSvjLhlTnBUbhI/view?usp=drive_link,"Dimsum kukus dengan isian daging ayam, disajikan dengan saus mentai khas berbahan dasar mayonnaise dan telur ikan atau tobiko, yang dibakar ringan untuk menghasilkan cita rasa gurih dan aroma yang khas.","Daging Ayam Fillet, Telur, Penyedap, Tepung Maizena, Kulit Pangsit, Mayonnaise, Tobiko",69.43,183.9,8,9.8,15.9,0,266.1,1.2,1.3,27.1,10,0,10,0,3,3,0,26,Makanan
Roti Goreng Isi Coklat,https://drive.google.com/file/d/13yfhux66U-5Qbl-_NGggQ2NdD8yaKOdd/view?usp=drive_link,"Roti goreng berbentuk bulat dengan tekstur luar yang renyah dan keemasan, berisi lelehan coklat di bagian dalam.","Ragi, Gula, Air, Tepung Terigu, Telur, Garam",33.87,119.1,3,3.5,19.8,4.5,87.9,0.2,0.4,11.3,10,0,0,7,0,0,0,17,Makanan
Cireng,https://drive.google.com/file/d/1YbB72gl6SINBaYzu4HE_ymGC51WUUNuP/view?usp=drive_link,Berbahan dasar tepung tapioka yang digoreng hingga bertekstur renyah di luar dan kenyal di dalam.,"Tepung Tapioka, Tepung Terigu, Penyedap, Minyak",26.64,68.6,0.3,2.3,11.8,0.5,33.5,0.1,0.2,11.8,0,0,7,10,0,0,0,17,Makanan
Ayam Katsu,https://drive.google.com/file/d/16fLqLMH7UZ10MLgyqbg5iXtPe1LuI4Oz/view?usp=drive_link,Potongan fillet ayam tanpa tulang berbalut tepung roti atau panir yang digoreng hingga berwarna keemasan dan renyah.,"Dada Ayam Fillet, Tepung Roti, Telur, Garam, Minyak",31,107,4.8,8.6,2.6,0,136.9,0.2,0.6,12,10,0,10,0,0,3,0,23,Makanan
Bakmi Ayam,https://drive.google.com/file/d/1urwYd6wAarhCMN6GJUrHRl2Rinen14VA/view?usp=drive_link,"Mi kenyal disajikan dengan ayam berbumbu gurih, dilengkapi bakso, kerupuk pangsit, serta sayuran segar seperti sawi rebus dan taburan daun bawang.","Mie, Daging Ayam, Sawi Hijau, Bakso, Kerupuk Pangsit, Kecap Asin, Minyak Bawang, Chili Oil",296,610.6,17.6,32.9,61,2.9,2069.9,5.2,2.1,64.6,10,0,10,0,7,0,0,27,Makanan
Bekid Bento + Egg Roll,https://drive.google.com/file/d/1uRNMa6aPXLNthUOu_itL8HfKXOBW_9N-/view?usp=sharing,"Sajian bento praktis berisi nasi putih pulen, lauk seperti ayam goreng tepung atau katsu yang renyah. Dipadukan dengan egg roll lembut berbentuk gulungan berisi daging.","Nasi, Daging Ayam, Tepung Terigu, Tepung Panir, Garam, Penyedap, Bumbu Teriyaki, Saus Sambal, Mayonnaise, Minyak, Telur Ayam",212,496.1,16.2,22.5,56.2,0,847.7,0.6,2,60.3,10,0,10,0,0,0,0,20,Makanan
Nasi Steak Ayam,https://drive.google.com/file/d/1ulQIUVOGw8M0LNRoJNKhJxbZstqs0T2u/view?usp=sharing,"Potongan daging ayam yang dibumbui dipanggang atau digoreng hingga matang, lalu disajikan dengan dilumuri bumbu teriyaki.","Nasi, Daging Ayam, Kecap Manis, Garam, Margarin, Bumbu Teriyaki",232,505.8,17,19.2,63.9,0,152.6,0.3,1.7,52.6,10,0,10,10,0,0,0,30,Makanan
Nasi Ayam Krispi,https://drive.google.com/file/d/1u_N1hhsHetnB0e4q3auxIuyhPhZdGgbx/view?usp=sharing,"Ayam goreng tepung yang renyah di luar dan lembut di dalam, disajikan dengan nasi putih.","Nasi, Daging Ayam, Tepung Terigu, Margarin, Garam, Minyak",213,482.5,12.8,22.2,56.9,0,402,0.3,1.3,48.9,10,0,10,3,0,0,0,23,Makanan
Spaghetti,https://drive.google.com/file/d/1up6f1az1I_10fM-pfDw4dmu3TWw98Mgc/view?usp=drive_link,Mi pasta disajikan dengan saus bolognese dengan beberapa topping.,"Mi Pasta, Fish Roll, Cikuwa Roll, Smoked Beef, Tepung Terigu, Garam, Lada, Margarin",110.3,321.3,10.8,5,57.7,0.1,1046.8,0.9,0.3,17.9,10,10,10,0,0,0,0,30,Makanan
Zuppa Soup,https://drive.google.com/file/d/1uZ18pxe2bb5ht0KjKxQ-PMw_sEW2EAow/view?usp=sharing,Sup krim yang lembut dan hangat dengan isian sayuran dan beef disajikan dalam mangkuk pastry puff yang renyah.,"Kulit Pastry, Keju, Smoked Beef, Bakso, Sosis, Buncis, Wortel, Susu Cair Plain, Garam, Lada, Margarin, Bawang Bombay, Bawang Putih",206,414.5,11.4,24.9,34.9,6.3,985.1,0.2,0.4,91.6,10,0,3,0,0,0,0,13,Makanan
Siomay,https://drive.google.com/file/d/1uoC3cLqgdFucESBv2uU8Xnp0QwQHvgaE/view?usp=sharing,"Adonan berbahan dasar ikan yang dikukus, disajikan dengan saus kacang gurih dan kecap manis.","Ikan Tenggiri, Tepung Terigu, Tepung Tapioka, Kacang Tanah, Kecap, Minyak",30.75,71.2,3.4,2,9.9,0.4,332.1,0.1,0.2,10.9,10,3,10,0,0,0,0,23,Makanan
Soft Cookies,https://drive.google.com/file/d/1umAUNb5wu3OmcWs6f-t_mGdwowqsM410/view?usp=sharing,"Kue kering bertekstur lembut dan chewy di bagian dalam, dipanggang untuk menghasilkan pinggiran yang sedikit renyah.","Tepung Terigu, Margarin, Gula, Telur, Baking Soda, Vanili Bubuk, Kue Lotus",60,255.1,3.5,12.8,32.2,11.2,227.9,0.7,0.8,19.9,0,0,0,3,0,0,0,3,Makanan
Nasi Ayam Kentucky,https://drive.google.com/file/d/1niu6XOx-r1atR7TZnW_NiTMQ_HwaoTIh/view?usp=sharing,Nasi putih disajikan dengan potongan ayam goreng tepung renyah yang dimasak hingga keemasan.,"Nasi, Daging Ayam Bagian Dada, Tepung Terigu, Tepung Bumbu, Bawang Putih, Merica, Minyak",305,755,22.9,42.3,70.4,0,422,1,3,463.6,10,0,10,10,0,0,7,37,Makanan
Roti Bakar Keju,https://drive.google.com/file/d/1Gwh-dzhFGLkWHeIj7yIZXWNF85FpW9hB/view?usp=sharing,"roti yang dibakar hingga garing di luar dan lembut di dalam, diisi dengankeju parut dan susu kental manis.","Roti Putih, Keju, Margarin, Susu Kental Manis",68,209,6.3,7.9,28,8.1,431.1,4,0.8,122.4,10,0,0,0,10,0,7,27,Makanan
Risol Mayo,https://drive.google.com/file/d/1iJM5m_NXU5Kwln-ZzBxvZ65FMywfEe3w/view?usp=sharing,"Risol goreng berisi campuran sosis, telur rebus, dan saus mayones yang creamy, dibalut kulit tipis dan renyah.","Tepung Terigu, Tepung Tapioka, Tepung Panir, Telur, Susu Cair, Garam, Penyedap, Mayonnaise, Sosis, Minyak",62.8,101.7,3,5,11.7,0.4,139.9,0.3,0.6,22.8,10,0,10,0,0,3,0,23,Makanan
Sate Donat,https://drive.google.com/file/d/1jDWgMALcDoHJmthO32ftf0rQ98wPok-W/view?usp=sharing,"Kreasi cemilan manis berbentuk bola-bola donat mini yang disusun dalam tusuk sate. Teksturnya lembut dan empuk, dilapisi gula halus.","Tepung Terigu, Gula, Kuning Telur, Margarin, Ragi, Susu Bubuk, Minyak, Gula Halus",46.9,143.1,2.2,3.8,26.6,0.8,8.6,0.1,0.3,8.2,0,3,10,0,0,0,0,13,Makanan
Cuanki,https://drive.google.com/file/d/1T8Saulec5kIncmJNMCxM35g4TUaX6vyw/view?usp=sharing,"Hidangan berkuah khas dengan kombinasi unik berupa cuanki lidah yang empuk, batagor gurih, pilus kriuk, dan mi lembut. Disajikan dalam kuah kaldu yang gurih.","Batagor, Cuanki Lidah, Pilus, Mie Kering, Minyak, Penyedap",59.8,185.5,2.7,4.4,33.5,0.5,890.9,0.9,0.7,45.3,0,7,10,0,3,0,0,20,Makanan
Tekwan + Bihun,https://drive.google.com/file/d/1-q_yK_JBlwtHtPzR70Wk0OhKlDbmbb7d/view?usp=sharing,"Hidangan khas Palembang berupa bola-bola ikan tenggiri yang lembut, disajikan dalam kuah bening yang gurih dengan aroma udang kering. Dilengkapi bihun dan jamur kuping.","Ikan Tenggiri, Tepung Tapioka, Bawang Putih, Bawang Merah, Garam, Lada, Putih Telur, Bihun, Jamur Kuping Hitam",94.7,135.1,15,1.6,14.3,0.4,153.9,0.4,1,41.4,3,10,10,0,0,3,0,26,Makanan
Pempek,https://drive.google.com/file/d/16zKu2WEuR0O0s7PhmqQlRG_5Igy-xFy8/view?usp=sharing,"Olahan ikan tenggiri dan tepung tapioka yang dibentuk panjang dan digoreng hingga keemasan, disajikan dengan kuah cuko khas yang asam, manis, dan pedas.","Ikan Tenggiri, Tepung Tapioka, Bawang Putih, Bawang Merah, Garam, Lada, Putih Telur, Kuah Cuko",44.4,119.7,4.9,4.2,15.3,0.7,19.3,0.2,0.3,17.3,10,0,10,0,0,0,0,20,Makanan
Es Greentea,https://drive.google.com/file/d/1ml9Qun4GMzi1lT_lCNSkG9M6ObuDhyQy/view?usp=sharing,"Minuman manis dibuat dari teh hijau, disajikan dengan es batu.","Teh Hijau, Susu Kental Manis, Gula",66,86.1,1.4,1.8,15.7,14.3,17.8,0,0,0.7,0,10,0,0,0,0,0,10,Minuman
Es Teh Manis (Teh Melati),https://drive.google.com/file/d/11SEqUqlaudehdVWmjxvE_GqiawHm00xD/view?usp=sharing,"Minuman populer di Indonesia yang di buat dari teh melati yang diseduh dan dicampur dengan gula dan es batu, rasanya manis dan menyegarkan.","Teh Melati, Gula, Air",26,78.7,0,0,18.8,18.8,0.2,0,0,1,0,10,0,0,0,0,0,10,Minuman
Nasi Ayam Geprek (Tanpa Timun),https://drive.google.com/file/d/1KKhm8bcHwQS-0tjkOTMlWiqqXvTyxHsv/view?usp=drive_link,Nasi Putih yang disajikan dengan ayam goreng tepung yang digeprek atau ditumbuk dan sambal bawang.,"Nasi, Daging Ayam Bagian Paha Atas, Tepung Terigu, Tepung Bumbu, Minyak, Bawang Putih, Bawang Merah, Cabai Rawit Merah, Garam, Penyedap",311,737.3,21.2,37.9,76,0,1812,0.3,4,60.5,10,0,10,0,0,3,0,23,Makanan
Bakso Aci,https://drive.google.com/file/d/1seW_UytN-BLkxatg6yGBKVCisxrP9cDE/view?usp=drive_link,"Bakso kenyal berbahan tepung aci (tepung tapioka), disajikan dalam kuah gurih. Dilengkapi berbagai pelengkap seperti cuanki, batagor kering, dan pilus.","Tepung Terigu, Tepung Tapioka, Garam, Cuanki, Batagor Kering, Pilus, Kuah",87,300.6,3.4,5.5,59.6,1,886.6,0.9,1.1,73.8,0,10,10,0,0,0,0,20,Makanan
Pentol Kuah,https://drive.google.com/file/d/18bqsYCI2d-PIkivWA7BLgBLr54em8ezy/view?usp=sharing,"Hidangan sederhana berupa bola-bola daging berbahan dasar tepung dan daging sapi, disajikan dalam kuah bening yang gurih.","Bakso Merk Keraton, Mie Kuning, Kuah",130,347.3,11.7,3.9,64.1,2.1,1472,5.2,0.1,10.4,10,10,10,0,10,0,0,40,Makanan
Corndog,https://drive.google.com/file/d/1F__jvgE5-NGLpsOWxA7CkeKNc8hoviXX/view?usp=drive_link,"Cemilan khas Korea yang terdiri dari keju mozarella yang dibalut adonan tepung, lalu digoreng hingga keemasan.","Tepung Maizena, Tepung Terigu, Tepung Panir, Keju Mozarella, Minyak",72.65,198.4,9.1,8.9,21.2,0,182.4,0.9,0.6,183.2,10,0,10,3,0,0,3,26,Makanan
Es Boba Coklat,https://drive.google.com/file/d/1_QM-6C2WAiRKMroCjNgaGROYdcijMQNm/view?usp=drive_link,Minuman dingin berbahan dasar coklat dipadukan dengan boba kenyal bertekstur lembut.,"Boba, Coklat Bubuk, Es Batu, Air, Susu Kental Manis, Gula Sirup",235,329.6,4.9,2.1,75.8,14.4,37.5,1.1,1.5,183.8,0,10,0,0,0,0,7,17,Minuman
Tahu Krispi,https://drive.google.com/file/d/1s02GXvCnB_ryKC20O2BGf6Kl8a4X1ocU/view?usp=sharing,Tahu yang digoreng dengan balutan tepung bumbu hingga bertekstur renyah di luar dan tetap lembut di dalam.,"Tahu Putih, Tepung Beras, Tepung Tapioka, Minyak, Garam, Penyedap, Air",83,142.4,5.6,11.4,5.9,0.2,49.2,0.2,1.6,108,10,0,10,10,0,10,7,47,Makanan
Takoyaki,https://drive.google.com/file/d/1-qm73btl4iq8NXnXPSe1RPw_nz7AiRba/view?usp=sharing,"Cemilan khas Jepang berupa bola-bola adonan tepung dan dipanggang hingga kecokelatan. Disajikan dengan saus, mayones, taburan katsuobushi (serpihan ikan cakalang)","Tepung Terigu, Telur, Kecap Ikan, Garam, Gula, Susu Cair, Penyedap, Saus Sambal, Mayonnaise, Minyak",144.7,202.3,6.6,7.5,28.5,5.3,330.6,0.1,0.7,53.6,10,0,0,0,0,0,0,10,Makanan
Es Jeruk Peras,https://drive.google.com/file/d/1v6GZoFYiqvxCZH4mZiCVTSmstllTTatU/view?usp=sharing,"Minuman segar alami yang dibuat dari perasan jeruk segar, disajikan dingin dengan tambahan es batu.","Jeruk, Gula, Air, Es Batu",243,88,1,0.2,21.5,19,6.9,1.5,0.4,48.8,0,10,0,0,10,0,7,27,Minuman
Nasi Kepal Ayam Suwir Pedas,https://drive.google.com/file/d/17OB0G6E_bG7WEemR9qkaVel06hcdNNLf/view?usp=drive_link,"Olahan nasi pulen yang dibentuk menyerupai bola atau kepalan tangan, diisi dengan ayam suwir berbumbu pedas.","Nasi, Daging Ayam, Bawang Merah, Bawang Putih, Cabai Merah Rawit, Cabai Merah Keriting, Garam, Gula, Penyedap, Minyak",180,365,9.8,9,59.1,0.3,227.5,0.3,1,41.6,10,7,10,10,0,0,0,37,Makanan
Sayur Kacang Panjang Bakso,https://drive.google.com/file/d/1vJKP9B0Cfo9umgknVLG8oDkaI1Q6C3fW/view?usp=sharing,Hidangan berkuah ringan yang terbuat dari kacang panjang dan irisan bakso sapi.,"Kacang Panjang, Bawang Putih, Garam, Penyedap, Kecap, Minyak, Bakso",43,97.2,3.6,8.6,1.4,0.3,178.6,0.7,0.4,16.1,10,0,10,0,3,0,0,23,Makanan
Es Thai Tea,https://drive.google.com/file/d/1vca6upVw8Ughxf8amuZFgwR407RkVDmj/view?usp=sharing,"Minuman khas Thailand berbahan dasar teh yang diseduh dan dicampur dengan gula, disajikan dingin dengan es batu.","Bubuk Thai Tea, Gula, Air, Es Batu",30,6.3,0,0,1.5,1.5,0.6,0,0,2.7,0,10,0,0,0,0,10,20,Minuman
